N,S_wide,S_wide_rel_error,S_tight,S_tight_rel_error
66100,0.943707,0.000858302,0.784024,0.169921
66600,0.943919,0.00063341,0.788724,0.164945
67100,0.942921,0.00168993,0.785022,0.168864
67600,0.944334,0.000193608,0.785444,0.168418
68100,0.941762,0.00291691,0.786123,0.167698
68600,0.925977,0.0196296,0.785641,0.168208
69100,0.96369,0.0202994,0.786093,0.167731
69600,0.936853,0.00811392,0.786193,0.167625
70100,0.939287,0.0055377,0.784494,0.169424
70600,0.945765,0.00132098,0.784065,0.169877
71100,0.945949,0.00151631,0.787215,0.166542
71600,0.947263,0.00290665,0.78595,0.167882
72100,0.931831,0.0134316,0.783232,0.17076
72600,0.925413,0.0202262,0.787052,0.166715
73100,0.983228,0.0409852,0.785486,0.168373
73600,0.953315,0.00931485,0.784878,0.169017
74100,0.954899,0.0109914,0.78525,0.168623
74600,0.947413,0.00306578,0.783164,0.170832
75100,0.926485,0.0190918,0.783063,0.170939
75600,0.960952,0.0174006,0.784511,0.169406
76100,0.962917,0.0194809,0.785335,0.168533
76600,0.964739,0.0214096,0.787023,0.166745
77100,0.956498,0.0126846,0.785798,0.168043
77600,0.949755,0.00554566,0.785812,0.168028
78100,0.935493,0.00955433,0.783764,0.170196
78600,0.965382,0.0220901,0.784071,0.169871
79100,0.938116,0.00677688,0.786726,0.167061
79600,0.95642,0.0126016,0.78554,0.168316
80100,0.953258,0.00925472,0.787203,0.166555
80600,0.953933,0.00996892,0.785496,0.168362
81100,0.942392,0.00224991,0.785462,0.168398
81600,0.949853,0.00564919,0.783811,0.170146
82100,0.951084,0.00695261,0.785968,0.167862
82600,0.93868,0.00617966,0.787409,0.166337
83100,0.954152,0.0102004,0.785548,0.168308
83600,0.942309,0.00233831,0.783373,0.17061
84100,0.957039,0.0132576,0.784281,0.169649
84600,0.953617,0.00963438,0.787565,0.166172
85100,0.933843,0.0113017,0.786146,0.167675
85600,0.943528,0.00104725,0.785783,0.168059
86100,0.943693,0.000872198,0.786829,0.166951
86600,0.947182,0.00282182,0.784411,0.169511
87100,0.952078,0.00800503,0.784397,0.169526
87600,0.950959,0.00682012,0.781986,0.172078
88100,0.942089,0.00257131,0.787333,0.166418
88600,0.947743,0.00341495,0.788296,0.165398
89100,0.935152,0.00991583,0.784433,0.169488
89600,0.949219,0.00497774,0.784665,0.169242
90100,0.960333,0.0167448,0.783585,0.170386
90600,0.939338,0.00548369,0.786148,0.167672
91100,0.955818,0.0119644,0.782843,0.171171
91600,0.934585,0.0105155,0.785229,0.168645
92100,0.949153,0.00490823,0.784495,0.169422
92600,0.954622,0.0106984,0.782981,0.171026
93100,0.935478,0.00957019,0.785499,0.168359
93600,0.9475,0.00315803,0.785299,0.168571
94100,0.942944,0.00166594,0.786249,0.167566
94600,0.946427,0.00202207,0.788932,0.164724
95100,0.946656,0.00226461,0.785121,0.16876
95600,0.945094,0.000610848,0.786778,0.167005
96100,0.916576,0.029582,0.786035,0.167791
96600,0.949752,0.00554184,0.787412,0.166334
97100,0.94171,0.00297253,0.783234,0.170758
97600,0.951178,0.00705238,0.786977,0.166794
98100,0.951468,0.007359,0.787227,0.166529
98600,0.9293,0.0161109,0.785416,0.168447
99100,0.938234,0.00665216,0.785631,0.16822
99600,0.948253,0.00395528,0.785392,0.168473
